term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Winter,COMP249,PP,LEC,OBJ-ORIENTED PROGRAMMING II,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,1026,TRUE,Y,430
Winter,COMP354,PP,LEC,SOFTWARE ENGINEERING I,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, ENCS282",,7620,TRUE,,431
Winter,COMP228,PP,LEC,SYSTEM HARDWARE,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1005,TRUE,NOENG,432
Winter,COMP249,PPPA,TUT,OBJ-ORIENTED PROGRAMMING II,1230,1330,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,1026,TRUE,Y,433
Winter,COMP354,PPPA,TUT,SOFTWARE ENGINEERING I,1230,1280,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, ENCS282",,7620,FALSE,,434
Winter,COMP228,PPPA,TUT,SYSTEM HARDWARE,1230,1330,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1005,FALSE,NOENG,435
Winter,COMP354,PPPB,TUT,SOFTWARE ENGINEERING I,1230,1280,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"COMP352, ENCS282",,7620,FALSE,,436
Winter,COMP249,PPPB,TUT,OBJ-ORIENTED PROGRAMMING II,1065,1165,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,COMP248,,1026,TRUE,Y,437
Winter,COMP228,PPPB,TUT,SYSTEM HARDWARE,1230,1330,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1005,FALSE,NOENG,438
Winter,COMP228,PPPC,TUT,SYSTEM HARDWARE,1230,1330,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1005,FALSE,NOENG,439
Winter,COMP249,QQ,LEC,OBJ-ORIENTED PROGRAMMING II,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,1027,TRUE,N,440
Winter,COMP249,QQQA,TUT,OBJ-ORIENTED PROGRAMMING II,1230,1330,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,1027,TRUE,N,441
Winter,COMP249,QQQB,TUT,OBJ-ORIENTED PROGRAMMING II,1185,1285,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1027,TRUE,N,442
Winter,COMP345,S,LEC,"ADVANCED PROGRAM DESIGN, C++",885,960,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,COMP352,,,TRUE,,443
Winter,COMP352,S,LEC,DATA STRUCTURES + ALGORITHMS,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1052,TRUE,NOENG,444
