term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Winter	COMP	335	N	LEC	INTRO/THEORETICAL COMP SCI	H531	11.45.00	13.00.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	110	"(COMP249, COEN244), (COMP238, COMP232, COEN231)"			1035	N
Winter	COMP	476	N	LEC	ADVANCED GAME DEVELOPMENT	H557	14.45.00	16.00.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	54	"COMP376, (COMP361, ENGR391)"				NOENG
Winter	COMP	233	N	LEC	PROB. & STATS. FOR COMP. SC.	H507	13.15.00	14.30.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	100				1015	NOENG
Winter	COMP	335	N NA	TUT	INTRO/THEORETICAL COMP SCI	H521	13.15.00	14.05.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	55	"(COMP249, COEN244), (COMP238, COMP232, COEN231)"			1035	N
Winter	COMP	233	N NA	TUT	PROB. & STATS. FOR COMP. SC.	H501	14.45.00	16.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	50				1015	NOENG
Winter	COMP	335	N NB	TUT	INTRO/THEORETICAL COMP SCI	H521	13.15.00	14.05.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	55	"(COMP249, COEN244), (COMP238, COMP232, COEN231)"			1035	N
Winter	COMP	233	N NB	TUT	PROB. & STATS. FOR COMP. SC.	H633	14.45.00	16.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	50				1015	NOENG
Winter	COMP	361	NN	LEC	ELEMENTARY NUMERICAL METHODS	H920	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	80	"COMP249, (COMP238, COMP232)"			1061	NOENG
Winter	COMP	442	NN	LEC	COMPILER DESIGN	H431	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	40	"(COMP 228, SOEN 228, COEN 311), COMP 335, (COMP 352, COEN 352)"				NOENG
Winter	COMP	472	NN	LEC	ARTIFICIAL INTELLIGENCE	MB1.210	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	113	"(COMP352, COEN352)"				NOENG
